prov lingala	French	signification
Mwana oyo aleli te, azwaka mabɛlɛ te.	L'enfant qui ne pleure pas ne reçoit pas le sein.	Si tu ne demandes rien, personne ne saura ce dont tu as besoin.
Loboko moko ekoki te kosukola elongi.	Une seule main ne peut pas bien laver le visage.	On a besoin des autres ; l'union fait la force.
Moto moko akoki kotonga mboka te.	Une seule personne ne peut pas construire un village.	Les grandes réalisations nécessitent la collaboration.
Soki oyebi te, tuna.	Si tu ne sais pas, demande.	Il vaut mieux poser une question que rester dans l'ignorance.
Mabele ezali ya bato nyonso, kasi lilita ezali ya moto moko.	La terre appartient à tous, mais la tombe est individuelle.	Nous vivons ensemble, mais chacun répond finalement de sa propre vie.
Moto azangi libunga azalaka te.	Il n'existe pas de personne sans faute.	L'erreur est humaine.
Mayele ezali ya moto moko te.	L'intelligence n'appartient pas à une seule personne.	Personne ne détient toute la sagesse.
Nzela molai ebandaka na litambe moko.	Un long chemin commence par un seul pas.	Toute grande entreprise commence modestement.
Mokili ezali kelasi.	Le monde est une école.	La vie nous apprend continuellement des leçons.
Moto oyo atamboli mingi amoni mingi.	Celui qui voyage beaucoup voit beaucoup.	L'expérience élargit les connaissances.
Moninga ya solo ayebanaka na tango ya mpasi.	Le véritable ami se reconnaît dans les moments difficiles.	C'est dans l'épreuve qu'on reconnaît ses vrais amis.
Moto akufaka, kombo ekufaka te.	L'homme meurt, mais son nom ne meurt pas.	Les actions et la réputation d'une personne peuvent lui survivre.
Maloba ezongaka na monoko te.	Les paroles ne retournent pas dans la bouche.	Une parole prononcée ne peut plus être retirée ; il faut réfléchir avant de parler.
Motema molai ezwaka mbano.	Un cœur patient reçoit sa récompense.	La patience finit par payer.
Likambo ya bato mibale, moto ya misato akotaka na bokebi.	Dans une affaire entre deux personnes, la troisième doit intervenir avec prudence.	Il faut être prudent lorsqu'on se mêle des conflits d'autrui.
Moto asalaka nde ayekolaka.	C'est en faisant qu'on apprend.	L'expérience est une excellente école.
Oyo oloni, yango nde okobuka.	Ce que tu sèmes est ce que tu récolteras.	On récolte ce que l'on sème.
Libanga oyo babwakaka likolo, ezongaka na se.	La pierre lancée en l'air finit par redescendre.	Nos actes finissent souvent par avoir des conséquences.
Moto na moto na mokumba na ye.	Chacun porte sa propre charge.	Chacun a ses responsabilités.
Esika bolingo ezali, mpasi ekómaka pete.	Là où il y a de l'amour, les difficultés deviennent plus légères.	L'entraide et l'affection permettent de supporter les épreuves.
Nsoso azali na mayele, kasi abosanaka ete motambo ezali.	La poule est intelligente, mais elle oublie parfois qu'il existe des pièges.	Même une personne expérimentée peut manquer de prudence et tomber dans un piège.
Mokili ezali lokola zando: moto nyonso ayei kosomba mpe koteka.	Le monde est comme un marché : chacun vient acheter et vendre.	La vie est faite d'échanges, de rencontres et de passages temporaires.
Mwana ya moto azali mwana ya bato.	L'enfant d'une personne est l'enfant de tous.	L'éducation et la protection d'un enfant concernent toute la communauté.
Ndeko akufaka te na motema.	Un frère ou une sœur ne meurt pas dans le cœur.	Les liens familiaux et les souvenirs demeurent même après la séparation ou la mort.
Soki mokili eboyi yo, motema na yo eboya yo te.	Si le monde te rejette, que ton propre cœur ne te rejette pas.	Il faut garder courage et confiance en soi malgré les difficultés.
Mayi etondi, kasi ebosani liziba te.	L'eau devient abondante, mais elle n'oublie pas sa source.	Il ne faut jamais oublier ses origines ni ceux qui nous ont aidés.
Nzete eyebanaka na mbuma na yango.	On reconnaît l'arbre à ses fruits.	On juge une personne à ses actes plutôt qu'à ses paroles.
Mbuma ya malamu eutaka na nzete ya malamu.	Un bon fruit vient d'un bon arbre.	De bonnes actions ou une bonne éducation produisent généralement de bons résultats.
Moto oyo azali na motema molai alekaka mosika.	Celui qui est patient va loin.	La patience et la persévérance permettent d'atteindre de grands objectifs.
Soki ozali kokima mbula, kokima te na nse ya nzete oyo ezali kokweya.	Si tu fuis la pluie, ne te réfugie pas sous un arbre qui tombe.	En voulant éviter un petit problème, il faut prendre garde de ne pas tomber dans un problème plus grave.
Miso emonaka mosika, kasi motema emonaka koleka.	Les yeux voient loin, mais le cœur voit plus loin encore.	L'intuition et la compréhension profonde dépassent parfois les apparences.
