en	lin
Where were these photos taken?	Bakangaki bilili oyo wapi ?
Take one four times a day, after meals.	Kamataka yango moko mbala minei na mokolo, nsima ya koliya
I need someone to talk to.	Nasengeli na moto moko nasolola naye.
He broke the law.	Abuki mobeko.
Was the door closed?	Ekuke ekangamaki ?
I enjoy chess.	Nandimaka makweyi.
I asked him his name.	Natunaki ye nkombo na ye.
Give someone else a chance.	Pesa libaku lilamu epai ya moto mususu.
The book I bought is on the table.	Buku nasombaki ezali likolo ya mesa.
My computer stopped working a few days ago.	Ordinateur na ngai ezali kosala lisusu te eleki mwa mikolo.
Tom doesn't know where he was born.	Tom ayebi esika abotama te.
We all need to learn to deal with this situation.	Tosengeli biso banso koyekola kolonga likambo oyo.
Are there any plants you're allergic to?	Ezali na boko milona miboyaka nzoto na yo ?
How can I choose a fresh fish?	Motindo kani nakoki kopona mbisi ya mai ?
Bring me his head.	Memela ngai moto na ye.
You can do whatever you like.	Bokoki kosala oyo nyonso bolingi.
Take your pills!	Kamata kisi na yo !
He's a tennis player.	Azali mobeti ya lisano ya tennis.
His father works at the bank.	Tata na ye asalaka na banke.
He is truly heartless.	Ye mpenza azanga mawa.
I have no complaints.	Naza na mitungisi te.
I must apologize to Mabiala.	Nasengeli kosenga Mabiala bolimbisi.
I'm seriously thinking about moving to Boston.	Naza kokanisa kokende na Boston.
Your friendship matters.	Boninga na yo ezali ya motuya.
I still think we should have invited Tom to come with us.	Nabanzi ete esengelaki tobengisa Tom  aya elongo na biso.
He isn't worthy of you.	Elongobani na yo te.
I dreamed of becoming a model.	Mposa na ngai ezalaka ete nakoma maneke (momekiseli ya bilamba).
She's only a few years older than me.	Aleki ngai bobele na ndambo ya mibu.
Understanding people is the most powerful weapon you can hold.	Boyokani ya bato yango nde mondoki ya makasi oyo bokoki kosimba.
I have nothing better to do.	Nazali na eloko mosusu ya malamu koleka te mpo nakosala.
Don't scream, or you're dead.	Koganga te, soki te okokufa.
Mabiala only did it once.	Mabiala asalaki yango kaka mbala moko.
We've known each other for a long time.	Toyebanaki uta kala.
In my family, no one is able to do it.	Na libota lya gai, moto moko te akoki kosala yango.
We traveled across the whole country.	Tosalaki mobembo na mboka mobimba.
I was given the choice between tea and coffee.	Batunaki ngai namela tii to kafe.
Thomas has a photo of his family on his desk.	Thomas azali na elili ya libota na ye na bilo na ye.
You get used to anything.	Tomisalisaka na nyonso.
I don't think anyone really understands me.	Nabanzi ete moto moko te asosoli ngai malamu mpenza.
I'm starting to understand.	Nabandi kososola.
You heard a noise behind you.	Oyokaki makelele moko na sima na yo.
You made that mistake on purpose, didn't you?	Osalaki libunga wana na nkoo, boye te?
Why did you cry?	Olelaki mpo na nini?
We had our reasons.	Tozalaki na ntina na biso.
You must call Mabiala immediately.	Osengeli kobenga Mabiala sikawa.
It's already summer.	Tosili kokota na elanga.
This isn't a sham.	Eza soni te.
Mabiala didn't pay me as much as he promised.	Mabiala afutaki ngai te lokola alakaki.
They can't see me.	Bakoki komona ngai te.
Enjoy the evening at the ball.	Zwa litomba na limpati ya nteke.
Ancient coins were found inside the mysterious tomb.	Misolo ya kalakala emonanaki na kati ya nkunda ya kokamwa.
